,SecuCode,FirstIndustryCode
0,000059,10
1,000096,10
2,000159,10
3,000554,10
4,000637,10
5,000698,10
6,000703,10
7,000819,10
8,000968,10
9,000985,10
10,002172,10
11,002206,10
12,002221,10
13,002254,10
14,002377,10
15,002408,10
16,002476,10
17,002493,10
18,002524,10
19,002648,10
20,002778,10
21,002828,10
22,300135,10
23,300384,10
24,600028,10
25,600256,10
26,600339,10
27,600346,10
28,600378,10
29,600387,10
30,600583,10
31,600688,10
32,600759,10
33,600777,10
34,600871,10
35,601113,10
36,601233,10
37,601808,10
38,601857,10
39,603026,10
40,603619,10
41,603727,10
42,603798,10
43,603800,10
44,000552,11
45,000723,11
46,000780,11
47,000937,11
48,000983,11
49,002128,11
50,002753,11
51,600121,11
52,600123,11
53,600157,11
54,600188,11
55,600348,11
56,600395,11
57,600397,11
58,600403,11
59,600408,11
60,600508,11
61,600546,11
62,600714,11
63,600725,11
64,600740,11
65,600758,11
66,600792,11
67,600971,11
68,600997,11
69,601001,11
70,601011,11
71,601015,11
72,601088,11
73,601101,11
74,601225,11
75,601666,11
76,601699,11
77,601898,11
78,601918,11
79,603113,11
80,000060,12
81,000426,12
82,000603,12
83,000612,12
84,000630,12
85,000633,12
86,000657,12
87,000688,12
88,000693,12
89,000697,12
90,000751,12
91,000758,12
92,000762,12
93,000807,12
94,000831,12
95,000878,12
96,000933,12
97,000960,12
98,000962,12
99,000969,12
100,000975,12
101,002070,12
102,002082,12
103,002114,12
104,002149,12
105,002155,12
106,002160,12
107,002167,12
108,002171,12
109,002182,12
110,002203,12
111,002237,12
112,002295,12
113,002378,12
114,002379,12
115,002428,12
116,002460,12
117,002466,12
118,002501,12
119,002540,12
120,002578,12
121,002716,12
122,002738,12
123,002806,12
124,002824,12
125,002842,12
126,300328,12
127,300337,12
128,300428,12
129,300618,12
130,300697,12
131,600111,12
132,600139,12
133,600219,12
134,600255,12
135,600259,12
136,600311,12
137,600330,12
138,600331,12
139,600338,12
140,600362,12
141,600366,12
142,600385,12
143,600390,12
144,600392,12
145,600432,12
146,600456,12
147,600459,12
148,600489,12
149,600490,12
150,600497,12
151,600531,12
152,600547,12
153,600549,12
154,600595,12
155,600614,12
156,600615,12
157,600673,12
158,600687,12
159,600711,12
160,600766,12
161,600768,12
162,600888,12
163,600961,12
164,600980,12
165,600988,12
166,601020,12
167,601069,12
168,601137,12
169,601168,12
170,601212,12
171,601388,12
172,601600,12
173,601677,12
174,601899,12
175,601958,12
176,603260,12
177,603399,12
178,603527,12
179,603612,12
180,603663,12
181,603799,12
182,603937,12
183,603978,12
184,603979,12
185,603993,12
186,000005,20
187,000027,20
188,000035,20
189,000037,20
190,000040,20
191,000068,20
192,000301,20
193,000407,20
194,000421,20
195,000531,20
196,000539,20
197,000543,20
198,000544,20
199,000591,20
200,000593,20
201,000598,20
202,000600,20
203,000601,20
204,000602,20
205,000605,20
206,000669,20
207,000685,20
208,000690,20
209,000692,20
210,000695,20
211,000711,20
212,000720,20
213,000722,20
214,000767,20
215,000791,20
216,000820,20
217,000826,20
218,000875,20
219,000883,20
220,000899,20
221,000920,20
222,000939,20
223,000958,20
224,000966,20
225,000967,20
226,000993,20
227,001896,20
228,002034,20
229,002039,20
230,002267,20
231,002340,20
232,002479,20
233,002499,20
234,002573,20
235,002616,20
236,002630,20
237,002658,20
238,002672,20
239,002700,20
240,002893,20
241,002911,20
242,300012,20
243,300055,20
244,300056,20
245,300070,20
246,300090,20
247,300137,20
248,300156,20
249,300172,20
250,300187,20
251,300190,20
252,300203,20
253,300262,20
254,300266,20
255,300332,20
256,300334,20
257,300335,20
258,300362,20
259,300385,20
260,300388,20
261,300422,20
262,300425,20
263,300569,20
264,300631,20
265,300664,20
266,300692,20
267,600008,20
268,600011,20
269,600021,20
270,600023,20
271,600025,20
272,600027,20
273,600098,20
274,600101,20
275,600116,20
276,600131,20
277,600167,20
278,600168,20
279,600187,20
280,600217,20
281,600236,20
282,600283,20
283,600292,20
284,600310,20
285,600323,20
286,600333,20
287,600388,20
288,600396,20
289,600452,20
290,600461,20
291,600483,20
292,600499,20
293,600505,20
294,600509,20
295,600526,20
296,600578,20
297,600617,20
298,600635,20
299,600642,20
300,600644,20
301,600674,20
302,600681,20
303,600719,20
304,600726,20
305,600744,20
306,600769,20
307,600780,20
308,600795,20
309,600856,20
310,600863,20
311,600864,20
312,600868,20
313,600874,20
314,600886,20
315,600900,20
316,600903,20
317,600917,20
318,600969,20
319,600979,20
320,600982,20
321,600995,20
322,601016,20
323,601139,20
324,601158,20
325,601199,20
326,601200,20
327,601368,20
328,601619,20
329,601985,20
330,601991,20
331,603080,20
332,603126,20
333,603165,20
334,603177,20
335,603200,20
336,603393,20
337,603568,20
338,603588,20
339,603603,20
340,603686,20
341,603689,20
342,603797,20
343,603817,20
344,603903,20
345,000629,21
346,000655,21
347,000708,21
348,000709,21
349,000717,21
350,000761,21
351,000778,21
352,000825,21
353,000898,21
354,000906,21
355,000932,21
356,000959,21
357,002057,21
358,002075,21
359,002110,21
360,002297,21
361,002318,21
362,002423,21
363,002443,21
364,002478,21
365,002652,21
366,002756,21
367,600005,21
368,600010,21
369,600019,21
370,600022,21
371,600058,21
372,600102,21
373,600117,21
374,600126,21
375,600193,21
376,600231,21
377,600282,21
378,600295,21
379,600307,21
380,600507,21
381,600532,21
382,600569,21
383,600581,21
384,600608,21
385,600782,21
386,600808,21
387,600882,21
388,601003,21
389,601005,21
390,601028,21
391,601969,21
392,603028,21
393,603878,21
394,603969,21
395,000155,22
396,000408,22
397,000420,22
398,000422,22
399,000510,22
400,000523,22
401,000525,22
402,000545,22
403,000553,22
404,000565,22
405,000584,22
406,000635,22
407,000677,22
408,000683,22
409,000687,22
410,000707,22
411,000731,22
412,000737,22
