SecuCode,FirstIndustryCode
000059,10
000096,10
000159,10
000554,10
000637,10
000698,10
000703,10
000819,10
000968,10
000985,10
002172,10
002206,10
002221,10
002254,10
002377,10
002408,10
002476,10
002493,10
002524,10
002648,10
002778,10
002828,10
300135,10
300384,10
600028,10
600256,10
600339,10
600346,10
600378,10
600387,10
600583,10
600688,10
600759,10
600777,10
600871,10
601113,10
601233,10
601808,10
601857,10
603026,10
603619,10
603727,10
603798,10
603800,10
000552,11
000723,11
000780,11
000937,11
000983,11
002128,11
002753,11
600121,11
600123,11
600157,11
600188,11
600348,11
600395,11
600397,11
600403,11
600408,11
600508,11
600546,11
600714,11
600725,11
600740,11
600758,11
600792,11
600971,11
600997,11
601001,11
601011,11
601015,11
601088,11
601101,11
601225,11
601666,11
601699,11
601898,11
601918,11
603113,11
000060,12
000426,12
000603,12
000612,12
000630,12
000633,12
000657,12
000688,12
000693,12
000697,12
000751,12
000758,12
000762,12
000807,12
000831,12
000878,12
000933,12
000960,12
000962,12
000969,12
000975,12
002070,12
002082,12
002114,12
002149,12
002155,12
002160,12
002167,12
002171,12
002182,12
002203,12
002237,12
002295,12
002378,12
002379,12
002428,12
002460,12
002466,12
002501,12
002540,12
002578,12
002716,12
002738,12
002806,12
002824,12
002842,12
300328,12
300337,12
300428,12
300618,12
300697,12
600111,12
600139,12
600219,12
600255,12
600259,12
600311,12
600330,12
600331,12
600338,12
600362,12
600366,12
600385,12
600390,12
600392,12
600432,12
600456,12
600459,12
600489,12
600490,12
600497,12
600531,12
600547,12
600549,12
600595,12
600614,12
600615,12
600673,12
600687,12
600711,12
600766,12
600768,12
600888,12
600961,12
600980,12
600988,12
601020,12
601069,12
601137,12
601168,12
601212,12
601388,12
601600,12
601677,12
601899,12
601958,12
603260,12
603399,12
603527,12
603612,12
603663,12
603799,12
603937,12
603978,12
603979,12
603993,12
000005,20
000027,20
000035,20
000037,20
000040,20
000068,20
000301,20
000407,20
000421,20
000531,20
000539,20
000543,20
000544,20
000591,20
000593,20
000598,20
000600,20
000601,20
000602,20
000605,20
000669,20
000685,20
000690,20
000692,20
000695,20
000711,20
000720,20
000722,20
000767,20
000791,20
000820,20
000826,20
000875,20
000883,20
000899,20
000920,20
000939,20
000958,20
000966,20
000967,20
000993,20
001896,20
002034,20
002039,20
002267,20
002340,20
002479,20
002499,20
002573,20
002616,20
002630,20
002658,20
002672,20
002700,20
002893,20
002911,20
300012,20
300055,20
300056,20
300070,20
300090,20
300137,20
300156,20
300172,20
300187,20
300190,20
300203,20
300262,20
300266,20
300332,20
300334,20
300335,20
300362,20
300385,20
300388,20
300422,20
300425,20
300569,20
300631,20
300664,20
300692,20
600008,20
600011,20
600021,20
600023,20
600025,20
600027,20
600098,20
600101,20
600116,20
600131,20
600167,20
600168,20
600187,20
600217,20
600236,20
600283,20
600292,20
600310,20
600323,20
600333,20
600388,20
600396,20
600452,20
600461,20
600483,20
600499,20
600505,20
600509,20
600526,20
600578,20
600617,20
600635,20
600642,20
600644,20
600674,20
600681,20
600719,20
600726,20
600744,20
600769,20
600780,20
600795,20
600856,20
600863,20
600864,20
600868,20
600874,20
600886,20
600900,20
600903,20
600917,20
600969,20
600979,20
600982,20
600995,20
601016,20
601139,20
601158,20
601199,20
601200,20
601368,20
601619,20
601985,20
601991,20
603080,20
603126,20
603165,20
603177,20
603200,20
603393,20
603568,20
603588,20
603603,20
603686,20
603689,20
603797,20
603817,20
603903,20
